"CrossingID","StateName","Latitude","Longitude"
"465852N","NC","35.4698470","-78.8239290"
"465853V","NC","35.45802450","-78.81781580"
"465854C","NC","35.4320992","-78.818057"
"465855J","NC","35.430078","-78.8177009"
"465856R","NC","35.42629360","-78.81703290"
"465857X","NC","35.41753270","-78.81551310"
"465858E","NC","35.40538210","-78.81909370"
"465859L","NC","35.40305170","-78.81852990"
"465860F","NC","35.40078220","-78.81539480"
"465861M","NC","35.397467","-78.811446"
"465862U","NC","35.39214570","-78.813048"
"465863B","NC","35.3836257","-78.8084865"
"465864H","NC","35.37864730","-78.80581990"
"465865P","NC","35.3693257","-78.8008356"
"465867D","NC","35.35552270","-78.79344540"
"465868K","NC","35.34454240","-78.786379"
"465869S","NC","35.329568","-78.7824137"
"465870L","NC","35.325849","-78.7823894"
"465871T","NC","35.316730","-78.780920"
"465872A","NC","35.31026120","-78.77916320"
"465874N","NC","35.3050643","-78.7753999"
"465875V","NC","35.301167","-78.772847"
